Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-07-17,1,5,24.78,"[587730, 578121, 405596, 586898, 584363]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-07-18,1,3,41.35,"[582443, 587941, 558205]","['1_0', '1_0', '1_0']"
2025-07-19,2,10,144.95,"[583539, 582563, 406246, 402002, 582767, 585934, 582775, 13394, 406287, 585840]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0']"
2025-07-20,3,27,274.4,"[588303, 401059, 580938, 584716, 588380, 401714, 582638, 557673, 587418, 585040, 555528, 586603, 604226, 581308, 555747, 557554, 557173, 588249, 557017, 584978, 15262, 11284, 588835, 587775, 405546, 14342, 404166]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-07-23,1,5,88.43,"[10552, 400474, 587971, 586776, 557679]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-07-24,1,4,27.01,"[406440, 401715, 403511, 403794]","['1_0', '1_0', '1_0', '1_0']"
2025-07-25,2,9,131.91,"[405940, 16331, 577372, 580233, 577222, 583213, 585375, 580791, 578626]","['0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0']"
2025-07-26,1,6,112.84,"[557844, 584670, 577070, 557243, 557571, 558425]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2025-07-27,3,26,338.54,"[587017, 558246, 557276, 557368, 403042, 576957, 578388, 587019, 588691, 405874, 582653, 584163, 404153, 404927, 404272, 584446, 401105, 588597, 588104, 585391, 403529, 580349, 553714, 551552, 587267, 588648]","['0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-07-28,3,26,296.75,"[558354, 557366, 557597, 557531, 585950, 584147, 557914, 584853, 403234, 12693, 584504, 588565, 585377, 587501, 11395, 577319, 584770, 582058, 405636, 582776, 583996, 603922, 581987, 400911, 403786, 401964]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
