Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-11-06,2,18,179.87,"[557034, 557387, 557411, 557216, 558426, 558175, 558365, 588362, 588060, 558101, 558165, 558053, 557753, 15082, 587971, 404191, 405394, 557954]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-07,1,4,36.4,"[10847, 406440, 400486, 557578]","['1_0', '1_0', '1_0', '1_0']"
2025-11-08,2,8,139.7,"[557441, 585950, 558403, 582954, 401061, 584558, 401772, 557690]","['0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-09,1,10,120.9,"[576261, 403069, 405475, 401964, 586515, 14049, 400318, 604199, 401342, 581987]","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-11-10,2,18,165.81,"[588303, 584716, 404196, 406246, 578624, 580233, 588755, 576691, 13341, 406484, 401370, 584853, 12692, 405082, 406085, 585046, 587180, 585840]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-11,2,22,290.1,"[557744, 557588, 587016, 557443, 557366, 557410, 578385, 580254, 580041, 17293, 402508, 17786, 576575, 587095, 584815, 588104, 587267, 403810, 588648, 580349, 405794, 553714]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-11-13,2,16,144.98,"[404862, 587045, 588072, 405423, 583451, 581095, 583346, 583347, 581261, 582004, 405597, 582326, 403493, 586046, 401893, 405228]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-11-15,1,3,22.17,"[584913, 588565, 12079]","['1_0', '1_0', '1_0']"
2025-11-16,1,4,25.1,"[580342, 16182, 585375, 401437]","['1_0', '1_0', '1_0', '1_0']"
2025-11-17,1,4,39.02,"[12693, 580048, 584243, 403767]","['1_0', '1_0', '1_0', '1_0']"
2025-11-18,2,12,143.08,"[557277, 586937, 603616, 557411, 586591, 605299, 584670, 584147, 557276, 585166, 405596, 557973]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0']"
2025-11-19,1,3,22.97,"[15431, 11706, 587403]","['1_0', '1_0', '1_0']"
2025-11-20,2,17,107.91,"[577865, 584565, 400474, 403511, 404808, 404810, 584786, 588548, 580964, 404913, 587127, 581986, 16117, 587956, 12867, 400859, 583277]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
2025-11-21,3,33,346.51,"[557985, 557877, 558295, 587369, 557914, 558246, 584687, 552192, 578480, 585011, 557223, 557797, 557574, 558172, 587733, 587862, 576457, 583169, 581287, 585040, 555390, 585484, 405926, 586205, 582104, 405069, 582058, 582471, 585158, 587260, 584181, 403786, 403453]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-11-22,1,11,144.41,"[10871, 588913, 402766, 401983, 576568, 582188, 405031, 16881, 403522, 16201, 575723]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-11-24,1,5,117.84,"[557940, 584373, 550920, 557288, 557644]","['0_3', '0_3', '0_3', '0_3', '0_3']"
2025-11-25,1,3,114.14,"[402841, 402008, 584127]","['0_1', '0_1', '0_1']"
2025-11-26,1,6,36.85,"[10552, 587868, 584818, 580350, 17758, 588835]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-27,1,5,31.81,"[405804, 406515, 405723, 13520, 17792]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-28,2,11,131.9,"[577965, 402002, 405404, 402249, 582767, 404426, 588700, 401829, 587775, 405059, 405546]","['0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-11-29,2,12,185.1,"[404601, 406428, 401489, 401714, 403905, 585206, 582443, 585984, 404166, 401515, 587941, 587325]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-01,1,10,113.87,"[581095, 585351, 588525, 405701, 582004, 587531, 586729, 402898, 405228, 577169]","['1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-12-02,2,15,121.86,"[588249, 557537, 583593, 583743, 604226, 581308, 555747, 557173, 557879, 577781, 584853, 587730, 13394, 578649, 585381]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-03,1,7,55.12,"[401918, 404639, 588041, 585779, 406237, 577726, 577452]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-04,1,15,171.68,"[402984, 405940, 587857, 401985, 587909, 405945, 403192, 405917, 404593, 604715, 580233, 584681, 16831, 584169, 577531]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-12-06,2,15,154.96,"[400672, 401772, 404870, 15743, 406249, 17353, 401911, 587041, 588649, 400384, 404272, 584086, 401105, 405281, 553714]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-12-08,1,5,87.79,"[576957, 584885, 584393, 586938, 583740]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-09,1,4,35.63,"[584353, 15565, 405782, 588661]","['1_0', '1_0', '1_0', '1_0']"
2025-12-10,2,11,148.57,"[580462, 588207, 405499, 14240, 587436, 401964, 403069, 403160, 405636, 401342, 581987]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-12-11,1,5,43.98,"[587355, 577823, 15745, 403445, 587403]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-12,1,3,17.35,"[10515, 578388, 401615]","['1_0', '1_0', '1_0']"
2025-12-13,1,3,28.87,"[588499, 587849, 401053]","['1_0', '1_0', '1_0']"
2025-12-14,2,9,145.45,"[17338, 402296, 401108, 583444, 405261, 405290, 603922, 584160, 14971]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2']"
2025-12-15,2,13,145.63,"[558101, 557981, 557366, 557410, 557597, 557697, 585950, 554269, 557247, 12740, 584059, 576715, 575690]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-16,3,18,273.45,"[558125, 557674, 577316, 584687, 585979, 401370, 400393, 401040, 587642, 406246, 404734, 584503, 402587, 404550, 401698, 406433, 604065, 587035]","['0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-17,1,5,50.4,"[10552, 588656, 586714, 578626, 557954]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-18,1,3,28.26,"[13570, 403794, 401692]","['1_0', '1_0', '1_0']"
2025-12-19,1,6,38.18,"[404015, 584577, 14342, 405596, 587019, 580318]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-21,1,13,144.96,"[405941, 402919, 402376, 584593, 405440, 405919, 580233, 577222, 402638, 404068, 582563, 588494, 17728]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-12-22,1,6,41.81,"[584853, 405451, 575734, 582157, 584134, 575771]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-24,1,8,116.31,"[553948, 557994, 587873, 558371, 587250, 605299, 581190, 557571]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2025-12-25,1,6,32.65,"[400323, 587551, 582775, 403720, 587452, 584886]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-27,2,17,148.32,"[13944, 403706, 581844, 405812, 587941, 16377, 405874, 587147, 16248, 588075, 588597, 585391, 587723, 405794, 580349, 403529, 553714]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-12-29,1,7,98.54,"[585702, 585348, 581308, 581297, 583169, 555747, 578223]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2025-12-30,1,8,42.32,"[405547, 406440, 578121, 400877, 587971, 580350, 577726, 575358]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-12-31,2,11,149.59,"[400357, 10619, 582303, 584446, 581095, 585842, 404884, 586046, 587348, 405228, 586610]","['1_1', '1_1', '1_1', '1_1', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2026-01-01,3,20,293.58,"[603616, 557443, 557844, 587654, 577070, 588445, 558076, 558106, 558053, 557243, 554071, 558246, 557940, 557513, 604226, 587321, 403909, 405084, 15614, 578110]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '1_1', '1_1', '1_1', '1_1', '1_1']"
2026-01-02,1,17,208.63,"[575799, 401427, 405964, 585934, 582767, 12875, 402002, 400751, 402106, 401240, 576691, 577302, 585933, 10500, 17814, 406484, 587909]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2026-01-03,2,21,218.86,"[584344, 405831, 401772, 587084, 401074, 17195, 584363, 403937, 584896, 587403, 557578, 575953, 585079, 404927, 13631, 401092, 11384, 557503, 583964, 582446, 401911]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2026-01-06,2,20,242.73,"[558163, 557017, 558391, 584811, 557574, 557923, 581287, 555390, 586311, 405926, 17010, 403069, 405475, 583996, 604199, 581987, 585181, 584043, 406273, 401612]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-01-09,1,5,26.0,"[10847, 586733, 400705, 588565, 401065]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-10,2,9,200.15,"[550777, 557673, 557525, 557657, 583333, 578617, 402750, 585377, 587983]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0']"
2026-01-12,1,5,34.65,"[577865, 12693, 584504, 587180, 405630]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-13,2,11,186.26,"[579909, 587676, 584786, 587999, 583736, 400980, 582776, 401342, 586515, 403453, 405988]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-01-14,2,10,101.8,"[585302, 557348, 578360, 558224, 403209, 401715, 587868, 588700, 406249, 576486]","['0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-17,4,35,444.78,"[557744, 576202, 557420, 558401, 585950, 557824, 584687, 586576, 555436, 553497, 557469, 404869, 401949, 405656, 576851, 406246, 406140, 401714, 404543, 583047, 584169, 14643, 405466, 402851, 402008, 553783, 558241, 550920, 558274, 584373, 587730, 583213, 578037, 406239, 558127]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-18,1,5,42.72,"[585473, 585717, 401045, 403252, 558205]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-19,4,27,440.72,"[557366, 587017, 558365, 555339, 581727, 585701, 586406, 557439, 13571, 587134, 14998, 405596, 11824, 557973, 14187, 17293, 12244, 576575, 582562, 404272, 401236, 404269, 584815, 587062, 403003, 15626, 551552]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2026-01-20,2,11,234.2,"[557277, 557444, 558295, 557714, 557804, 587517, 401370, 402354, 401894, 577314, 402766]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2026-01-22,1,10,106.44,"[558101, 557981, 551241, 557440, 557446, 557026, 557442, 578385, 585190, 558425]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2026-01-23,1,7,33.55,"[11284, 583167, 584558, 579970, 405082, 17264, 587941]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-24,1,8,99.88,"[558137, 582638, 557327, 576457, 583169, 581308, 555747, 557227]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2026-01-25,2,11,180.16,"[588380, 588755, 604715, 406043, 16201, 586294, 15262, 401076, 584622, 404768, 585343]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-27,2,18,153.75,"[580342, 400637, 400944, 10604, 557954, 581095, 583347, 585351, 581261, 588525, 576943, 575778, 583179, 403008, 578166, 405359, 585194, 587765]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2026-01-28,1,3,9.81,"[403042, 12692, 588207]","['1_0', '1_0', '1_0']"
2026-01-29,2,9,111.83,"[587857, 401985, 582188, 603830, 401061, 585166, 404411, 585560, 404810]","['0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-30,1,6,73.84,"[586776, 406433, 16362, 604065, 577726, 403767]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-01-31,1,7,43.78,"[586529, 587799, 580462, 405423, 16182, 585083, 405789]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-02,2,17,191.9,"[588913, 587909, 582767, 576568, 16331, 402002, 577372, 578624, 581139, 585394, 402832, 583539, 403590, 584503, 588072, 403234, 580350]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0']"
2026-02-03,3,23,291.7,"[400672, 584577, 587398, 401772, 401053, 588308, 582653, 582340, 577895, 401236, 401092, 405794, 581886, 588597, 588110, 587501, 405607, 584770, 400318, 587260, 603922, 581987, 405069]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-02-04,2,13,196.49,"[582443, 400356, 404166, 585779, 582645, 575771, 583410, 11395, 403069, 584847, 582471, 405636, 582678]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2']"
2026-02-06,3,31,281.13,"[558354, 588060, 557877, 554228, 605299, 557819, 557061, 557368, 554233, 553130, 558432, 557940, 557190, 587733, 604226, 588899, 558423, 557332, 550920, 577781, 576459, 588249, 558131, 557945, 17466, 400498, 405782, 576715, 17758, 404550, 588499]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-07,1,4,99.44,"[557817, 557410, 557384, 558246]","['0_0', '0_0', '0_0', '0_0']"
2026-02-09,1,9,121.49,"[558175, 576660, 554269, 586674, 584687, 586580, 557476, 557726, 580254]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2026-02-12,1,7,52.42,"[586898, 580188, 577856, 588234, 583451, 17792, 557679]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-13,2,15,174.8,"[404862, 404015, 576957, 402498, 585484, 586311, 576628, 604199, 585937, 585181, 402797, 586205, 405475, 576261, 403160]","['1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-02-14,1,5,21.13,"[15587, 404276, 15431, 400993, 578750]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-17,1,5,47.62,"[401515, 17353, 401698, 587650, 575690]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-18,1,6,25.21,"[586240, 405871, 401829, 15778, 585340, 586251]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-19,2,17,184.45,"[558386, 587250, 557443, 557366, 557597, 586591, 585950, 557802, 558187, 557120, 587971, 405596, 406287, 576527, 587941, 585547, 401108]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-20,1,11,145.75,"[400768, 17728, 584169, 403281, 406246, 404593, 587480, 402377, 401486, 406321, 402376]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2026-02-21,2,19,144.75,"[557223, 558243, 557106, 557105, 580781, 583743, 581308, 586283, 555747, 557107, 581287, 557574, 557644, 586603, 587418, 406440, 11706, 406515, 586496]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0']"
2026-02-23,2,14,170.69,"[402984, 401059, 13341, 401714, 588494, 575723, 401370, 403522, 582766, 406249, 584818, 16100, 404870, 588548]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-02-25,1,9,159.74,"[578628, 585158, 582776, 401342, 576952, 403453, 405926, 14240, 582168]","['2', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-02-26,1,3,29.37,"[575734, 401200, 401533]","['1_0', '1_0', '1_0']"
2026-02-27,1,4,35.62,"[581844, 404191, 577726, 578626]","['1_0', '1_0', '1_0', '1_0']"
2026-02-28,1,14,114.97,"[557985, 603616, 558072, 557812, 554160, 557697, 588362, 557468, 552331, 580265, 584147, 558053, 557610, 557753]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2026-03-01,1,5,38.76,"[588700, 405012, 15046, 577727, 557578]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-04,1,7,41.9,"[587730, 588656, 401772, 587019, 406237, 585840, 404441]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-05,1,3,20.37,"[577865, 588565, 585477]","['1_0', '1_0', '1_0']"
2026-03-06,2,19,183.77,"[588303, 584716, 587909, 586878, 582767, 402008, 405523, 402002, 587642, 576691, 16656, 16831, 577965, 17338, 587868, 406271, 15743, 584786, 584886]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-08,1,5,32.88,"[587296, 400877, 404639, 580350, 588661]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-09,1,7,65.29,"[10847, 12693, 585375, 400486, 584393, 403937, 557954]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-10,2,17,197.56,"[555146, 586937, 557117, 557410, 557970, 557068, 558165, 557397, 582743, 578013, 588649, 576575, 404272, 588597, 584887, 405281, 582446]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2026-03-14,1,9,92.82,"[405547, 587355, 585017, 15565, 585381, 400986, 405499, 575358, 585603]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-15,1,6,129.84,"[557744, 558101, 584670, 605299, 587369, 557276]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2026-03-16,2,14,185.68,"[575871, 406484, 403423, 577302, 577531, 585919, 406246, 604715, 405945, 584059, 406477, 406433, 587180, 604065]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-18,2,10,134.84,"[587016, 557981, 557441, 558246, 582954, 585403, 588207, 401118, 584134, 401615]","['0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-19,1,4,14.5,"[14771, 405059, 403511, 405337]","['1_0', '1_0', '1_0', '1_0']"
2026-03-20,2,9,114.14,"[586234, 557846, 558295, 557243, 558301, 405831, 400474, 404650, 584577]","['0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-22,2,12,162.45,"[404980, 587132, 587857, 401985, 404196, 576841, 10953, 403662, 585984, 405596, 585046, 575771]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-24,2,18,167.16,"[557277, 557588, 557459, 585200, 557366, 585950, 555932, 558229, 580041, 557914, 554999, 584840, 405451, 400323, 580462, 578121, 585038, 557973]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-28,1,7,75.18,"[400705, 16582, 401053, 587452, 404550, 13802, 583740]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-03-30,2,18,260.76,"[402919, 402766, 585934, 402685, 12992, 16201, 401370, 558391, 584811, 586650, 586406, 576457, 580244, 585672, 576459, 557354, 557850, 577781]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2026-04-01,1,5,123.49,"[405964, 584503, 577222, 12562, 584169]","['0_1', '0_1', '0_1', '0_1', '0_1']"
2026-04-02,1,6,39.27,"[584353, 405630, 588499, 576715, 405670, 584243]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-03,1,4,32.3,"[400672, 575510, 405040, 585377]","['1_0', '1_0', '1_0', '1_0']"
2026-04-04,1,4,18.07,"[588835, 402296, 406249, 583176]","['1_0', '1_0', '1_0', '1_0']"
2026-04-06,1,4,46.57,"[576486, 578649, 404810, 11824]","['1_0', '1_0', '1_0', '1_0']"
2026-04-07,1,5,23.38,"[14998, 585717, 405082, 404659, 585779]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-08,1,4,23.97,"[587775, 405546, 402118, 580318]","['1_0', '1_0', '1_0', '1_0']"
2026-04-09,4,30,392.93,"[580509, 557443, 558365, 557674, 558273, 557181, 557061, 557368, 578480, 404869, 582767, 582188, 402002, 588755, 580342, 584558, 17195, 405926, 584770, 14049, 405636, 582776, 587260, 581525, 584043, 401612, 403453, 14971, 582104, 405988]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2026-04-10,1,5,19.5,"[404015, 401074, 12172, 405782, 406085]","['1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-11,4,34,399.55,"[553948, 557216, 587017, 587250, 557518, 554269, 10871, 577314, 576568, 401220, 587909, 401714, 15428, 583047, 17728, 557017, 557466, 585302, 558275, 557047, 578223, 581297, 583169, 604226, 558168, 555220, 557574, 581287, 401715, 582443, 585166, 12740, 404166, 580350]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-13,1,3,41.86,"[586733, 403445, 586938]","['1_0', '1_0', '1_0']"
2026-04-14,1,3,30.73,"[10515, 587971, 403767]","['1_0', '1_0', '1_0']"
2026-04-15,1,3,15.09,"[406440, 13394, 17264]","['1_0', '1_0', '1_0']"
2026-04-18,1,6,22.1,"[588700, 584885, 16182, 12692, 586663, 405943]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-19,1,3,40.12,"[587730, 586714, 557954]","['1_0', '1_0', '1_0']"
2026-04-20,1,7,39.86,"[401061, 405423, 11770, 587084, 403720, 587325, 558205]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-21,1,3,13.63,"[576957, 406256, 401698]","['1_0', '1_0', '1_0']"
2026-04-22,1,7,52.66,"[587705, 588072, 579909, 404426, 403252, 17758, 575690]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2026-04-24,4,40,496.53,"[603616, 557417, 557772, 557877, 605299, 578385, 581190, 586576, 405941, 405940, 402376, 402008, 405404, 402142, 405917, 401240, 578624, 588380, 406428, 588494, 12578, 400393, 17814, 404601, 577874, 12813, 577823, 585821, 14187, 16377, 585079, 587147, 582303, 586917, 401092, 404272, 588597, 13673, 577705, 557477]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2026-04-25,1,3,10.61,"[585473, 11284, 578037]","['1_0', '1_0', '1_0']"
2026-04-26,2,10,141.8,"[558101, 557994, 585950, 558246, 583315, 554071, 577865, 584344, 587868, 17792]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0']"
